model,factors,seed,samples,features,fit_observed_cells,holdout_cells,observed_cells,holdout_fraction_realized,q_train,q_train_per_cell,q_heldout,q_heldout_per_cell,q_all_observed,q_all_observed_per_cell,objective,iterations,converged,fit_seconds,profile_variability_mean,profile_variability_max,active_variability_factor_count,effective_rank_mean,effective_rank_active_factor_count,high_geometric_confounding_factor_count,moderate_geometric_confounding_factor_count,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,8,17,8671,32,205786,22901,228687,0.1001412410849764,143795.91549470724,0.6987643255357859,327637.3847324032,14.306684630907087,471433.3002271104,2.0614783535011187,143795.91549470724,15,False,31.740643540979363,0.0,0.0,0,0.0,0,4,0,0.6198528797888673,0.9918636323997074,0.14271440598847498,7.0,44.66925699964447,0.02238676143657279
lowrank_v2,8,23,8671,32,205786,22901,228687,0.1001412410849764,148053.39505599934,0.7194531943669605,423499.1123616633,18.492603482889976,571552.5074176627,2.499278522249462,148053.39505599934,15,False,31.78517745900899,0.0,0.0,0,0.0,0,3,2,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,31,8671,32,205786,22901,228687,0.1001412410849764,154987.47709310317,0.7531487909435198,336800.74342576973,14.706813825849078,491788.2205188729,2.150486125223003,154987.47709310317,15,False,31.78693179099355,0.0,0.0,0,0.0,0,3,3,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,41,8671,32,205786,22901,228687,0.1001412410849764,152426.35658516065,0.7407032382434211,530164.0624837071,23.150258175787393,682590.4190688678,2.9848238818510358,152426.35658516065,15,False,31.711157624959014,0.0,0.0,0,0.0,0,3,1,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,53,8671,32,205786,22901,228687,0.1001412410849764,139556.4720376388,0.6781631016572498,351675.666886684,15.356345438482338,491232.13892432285,2.148054497738493,139556.4720376388,15,False,31.79194154194556,0.0,0.0,0,0.0,0,4,2,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,67,8671,32,205786,22901,228687,0.1001412410849764,156057.04785559382,0.7583462813582742,195986.9205339898,8.558007097244216,352043.96838958364,1.5394139955029522,156057.04785559382,15,False,31.642264624941163,0.0,0.0,0,0.0,0,3,2,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,79,8671,32,205786,22901,228687,0.1001412410849764,150690.41577793314,0.7322675778621147,1082697.5107526644,47.27730277073771,1233387.9265305977,5.393345168420582,150690.41577793314,15,False,31.689438041998073,0.0,0.0,0,0.0,0,3,4,0.7429607921532391,0.9930909194399176,0.4929731038778867,7.0,46.27667684738226,0.021609157530864644
lowrank_v2,8,97,8671,32,205786,22901,228687,0.1001412410849764,136733.82600526273,0.664446687360961,347855.5007051757,15.189533238949203,484589.32671043836,2.1190068815037075,136733.82600526273,15,False,31.662659291992895,0.0,0.0,0,0.0,0,3,1,0.6296538058754423,0.9914639562065631,0.26431893391178074,7.0,29.193936250147473,0.03425368855475762
lowrank_v2,8,113,8671,32,205786,22901,228687,0.1001412410849764,141140.36633332196,0.6858599046257858,320185.5121600767,13.981289557664587,461325.87849339866,2.0172807308390888,141140.36633332196,15,False,31.723515042103827,0.0,0.0,0,0.0,0,2,3,0.6535540425555801,0.992250374696879,0.3085073277488687,7.0,51.64001795946823,0.019364826727691898
static,4,11,8671,32,205786,22901,228687,0.1001412410849764,271166.03672375774,1.3177088661218828,341178.1989425998,14.897960741565862,612344.2356663577,2.677652143175422,271166.03672375774,500,False,0.4856358339311555,0.0,0.0,0,0.0,0,0,0,0.8273664946416758,0.9371373328126701,0.7438621719173062,3.0,3.5179019853610534,0.28426033589374344
static,4,17,8671,32,205786,22901,228687,0.1001412410849764,271238.0654775662,1.3180588838772618,298144.97049490956,13.018862516698379,569383.0359724758,2.489791881359569,271238.0654775662,500,False,0.48251604207325727,0.0,0.0,0,0.0,0,0,0,0.8175907118430069,0.9069954369811573,0.6990226438493381,3.0,2.7936946655266666,0.3579489241754629
static,4,23,8671,32,205786,22901,228687,0.1001412410849764,278047.9214308198,1.3511508141021245,118473.73121825984,5.173299472436131,396521.6526490797,1.7339055243589696,278047.9214308198,500,False,0.4956774590536952,0.0,0.0,0,0.0,0,0,0,0.6418964746802254,0.9914436062254421,0.510172090988397,3.0,7.908766873921501,0.12644196193181728
static,4,31,8671,32,205786,22901,228687,0.1001412410849764,274344.96359405376,1.333156597601653,218956.63160349583,9.561007449609006,493301.59519754956,2.1571037933837496,274344.96359405376,500,False,0.48663012497127056,0.0,0.0,0,0.0,0,0,0,0.6917456347562828,0.9735966740004349,0.40184119530173934,3.0,5.2683474223503755,0.18981284259227318
static,4,41,8671,32,205786,22901,228687,0.1001412410849764,271059.19305206684,1.3171896681604522,268898.61206778436,11.741784728517722,539957.8051198513,2.3611215553129443,271059.19305206684,500,False,0.4860273340018466,0.0,0.0,0,0.0,0,0,0,0.8090108056288207,0.9599749050854659,0.6867688459420577,3.0,3.1409037913095417,0.31837969783310954
static,4,53,8671,32,205786,22901,228687,0.1001412410849764,272007.0274717971,1.3217955909138477,212446.78656215232,9.276747153493398,484453.8140339494,2.1184143131614364,272007.0274717971,500,False,0.48559741699136794,0.0,0.0,0,0.0,0,0,0,0.7389338940014222,0.971410486078843,0.5170673814432081,3.0,4.103022490163554,0.24372276837316045
