model,factors,seed,factor,factor_label,effective_rank,profile_rms_variability,latent_tau,span_alignment,unique_direction_fraction,max_cosine_to_other_archetype,diagnostic_label,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,8,53,0,factor_1,0,0.0,0.0,,,0.9451005527745227,moderate_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,1,factor_2,0,0.0,0.0,,,0.8143365919872377,static_or_no_active_family,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,2,factor_3,0,0.0,0.0,,,0.9903921322875094,high_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,3,factor_4,0,0.0,0.0,,,0.5257164498283412,static_or_no_active_family,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,4,factor_5,0,0.0,0.0,,,0.9451005527745227,moderate_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,5,factor_6,0,0.0,0.0,,,0.9903921322875094,high_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,6,factor_7,0,0.0,0.0,,,0.9844493127071591,high_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,53,7,factor_8,0,0.0,0.0,,,0.9814320922980556,high_geometric_confounding,0.7386336152689318,0.9903921322875094,0.33052282294971663,7.0,24.37881582386439,0.04101921960545358
lowrank_v2,8,67,0,factor_1,0,0.0,0.0,,,0.9376623358639661,moderate_geometric_confounding,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,1,factor_2,0,0.0,0.0,,,0.9376623358639661,moderate_geometric_confounding,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,2,factor_3,0,0.0,0.0,,,0.8646271699673195,static_or_no_active_family,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,3,factor_4,0,0.0,0.0,,,0.6094330024184671,static_or_no_active_family,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,4,factor_5,0,0.0,0.0,,,0.7200451650341021,static_or_no_active_family,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
lowrank_v2,8,67,5,factor_6,0,0.0,0.0,,,0.9912951834892673,high_geometric_confounding,0.6176146055803793,0.9912951834892673,0.03400030863484869,7.0,56.766107217361835,0.01761614542584226
